unit,tra_cov,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_PKM,TOTAL,AT	8262 	8514 	9687 	9620 	9713 	10172 	10606 	11188 	11345 	11433 	12021 	12077 
MIO_PKM,TOTAL,BE	8964 	9403 	10139 	10237 	10498 	10498 	: 	: c	: c	: c	: c	: c
MIO_PKM,TOTAL,BG	2411 	2404 	2317 	2138 	2090 	2059 	1870 	1821 	1698 	1549 	1455 	1434 
MIO_PKM,TOTAL,CH	: 	: 	16456 	17223 	17800 	18320 	18115 	18277 	18801 	19119 	19602 	19616 
MIO_PKM,TOTAL,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
MIO_PKM,TOTAL,CZ	6922 	6898 	6773 	6472 	6559 	: 	7196 	7512 	7644 	8125 	8738 	9403 
MIO_PKM,TOTAL,DE	78735 	79098 	82428 	81206 	82837 	89316 	93918 	89450 	90978 	91050 	95465 	95529 
MIO_PKM,TOTAL,DK	5890 	5979 	6083 	5967 	6148 	6395 	6534 	6566 	6513 	6507 	6332 	6280 
MIO_PKM,TOTAL,EE	257 	274 	274 	249 	247 	243 	235 	223 	280 	286 	316 	366 
MIO_PKM,TOTAL,EL	1811 	1930 	1657 	1467 	1383 	958 	832 	1056 	1072 	1263 	1192 	1112 
MIO_PKM,TOTAL,ES	21519 	21236 	23336 	22742 	22044 	22645 	22170 	23660 	24915 	26018 	26532 	27469 
MIO_PKM,TOTAL,EU27	383234 	390212 	: c	: c	: c	: c	: 	: c	: c	: c	: c	: c
MIO_PKM,TOTAL,EU28	384556 	391785 	: c	: c	: c	: c	: 	: c	: c	: c	: c	: c
MIO_PKM,TOTAL,FI	3540 	3778 	4052 	3876 	3959 	3882 	4035 	4053 	3874 	4114 	3868 	4271 
MIO_PKM,TOTAL,FR	79809 	81961 	86516 	88610 	: c	91298 	91205 	90485 	89499 	91377 	90612 	96690 
MIO_PKM,TOTAL,HR	1322 	1573 	1769 	1802 	1711 	1457 	1080 	935 	917 	941 	827 	736 
MIO_PKM,TOTAL,HU	9524 	8752 	8291 	8003 	7653 	7763 	7769 	7806 	7710 	: c	: c	: c
MIO_PKM,TOTAL,IE	1872 	2007 	1976 	1683 	1678 	1638 	1578 	1569 	1728 	1918 	1991 	2122 
MIO_PKM,TOTAL,IT	46439 	45985 	45767 	44404 	43349 	45944 	45753 	47707 	48881 	51121 	51716 	52778 
MIO_PKM,TOTAL,LT	268 	246 	258 	231 	244 	269 	278 	278 	270 	262 	280 	315 
MIO_PKM,TOTAL,LU	298 	316 	345 	: 	347 	349 	373 	394 	366 	418 	417 	438 
MIO_PKM,TOTAL,LV	986 	975 	941 	748 	741 	733 	717 	721 	644 	590 	584 	596 
MIO_PKM,TOTAL,MK	: 	: 	: 	155 	155 	145 	99 	80 	80 	177 	83 	59 
MIO_PKM,TOTAL,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
MIO_PKM,TOTAL,NL	15696 	15888 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
MIO_PKM,TOTAL,NO	2820 	2861 	3020 	: 	3076 	3076 	3092 	3260 	3440 	3555 	3695 	3584 
MIO_PKM,TOTAL,PL	18240 	19524 	19762 	18128 	17485 	17633 	17110 	16453 	15479 	17024 	18753 	20120 
MIO_PKM,TOTAL,PT	3876 	3987 	4213 	4213 	4111 	4237 	3803 	3649 	3852 	3957 	4266 	4516 
MIO_PKM,TOTAL,RO	8065 	7417 	6877 	5975 	5248 	5044 	4518 	4352 	4971 	4910 	4731 	5556 
MIO_PKM,TOTAL,SE	9617 	10261 	11146 	11321 	11155 	11379 	11792 	11842 	12121 	12741 	12800 	13331 
MIO_PKM,TOTAL,SI	724 	740 	765 	773 	729 	689 	659 	679 	620 	628 	611 	570 
MIO_PKM,TOTAL,SK	2213 	2165 	2296 	2264 	2309 	2431 	2459 	2485 	2583 	3411 	3484 	3754 
MIO_PKM,TOTAL,TR	5277 	5553 	5097 	5374 	5491 	5882 	4598 	3775 	4393 	4828 	4325 	4566 
MIO_PKM,TOTAL,UK	47297 	50474 	53002 	52765 	55831 	58462 	60783 	61950 	64711 	66594 	68010 	68912 
