unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
I05,AT	100 	97.2 	95.7 	96.7 	98.8 	98.8 	97.4 	96.9 	98.2 	99.6 	100.5 	101.8 
I05,BE	100 	98.2 	97.1 	98.6 	101 	99.3 	98.3 	98.5 	93.4 e	93.9 e	90.7 e	88 e
I05,BG	100 	97.8 	96.3 	95.5 	100.3 	99.7 	99.4 	100.9 	102.3 	107 	107.7 	102.5 
I05,CH	100 	97.4 	95.2 	94.5 	99.1 	98 	88.1 	87.8 	86.9 	85.7 	85.5 	85.9 
I05,CY	100 	99.2 	99.4 	102.7 	107.5 	104.9 	105.4 	109.7 	115.8 	119.6 	120.8 	122.3 
I05,CZ	100 	95.3 	92.2 	90.4 	94.6 	84.9 	84.3 	83.8 	85.3 	85.6 	84.4 	85.4 
I05,DE	100 	97.3 	94.5 	94.1 	100.4 	97.1 	95.5 	95.4 	95.3 	94.9 	94.5 	94.6 
I05,DK	100 	96.1 	96.7 	98.3 	103.9 	102.1 	102.9 	102.1 	101.3 	101.6 	103.9 	105.1 
I05,EE	100 	92 	84.5 	91.3 	104.1 	98.2 	93.4 	93.6 	96.1 	97.7 	104.3 	103.8 
I05,EL	100 	99.1 	100.4 	104.8 	109.5 	114.3 	124.1 	132.1 	135.5 	135.7 	138.1 	139.9 
I05,ES	100 	95.9 	95.1 	94.8 	99.1 	95.5 	96 	95.3 	95.6 	89.7 e	90.7 	91 
I05,EU28	100.0 	98.0 e	95.1 e	95.1 e	101.8 e	99.0 e	97.0 e	96.0 e	94.8 e	94.3 e	93.9 e	94.4 e
I05,FI	100 	96.9 	94.1 	93.3 	102.7 	100.4 	98.7 	100.1 	100.6 	101.6 	102.8 	89.3 
I05,FR	100 	97.7 	96.4 	96 	108.8 	107.6 	105.9 	106.3 	94.8 	94.7 	95.9 	99.3 
I05,HR	100 	99.5 	99.5 	102.1 	107.5 	104.4 	101.9 	106.4 	107.5 	107.7 	105.6 	102.7 
I05,HU	100 	99.8 e	99.5 	98.8 	104.1 	100.8 	98.8 	100.7 	98.8 	96.4 	95.6 	96 
I05,IE	100 	97.9 	97.1 	103.1 	108.2 	104 	75 	97.6 	98.5 	93.1 	81 	82.2 
I05,IS	100 	101 	96.9 	92.9 	100.5 	103.3 	97.6 	97.5 	96.1 	99 	101.3 	109.4 
I05,IT	100 	98.2 	96.8 	97.7 	108.5 	104.9 e	100.1 	92 	99.4 	102.4 	105 	107.6 
I05,LT	100 	104.3 	92.9 	87.8 	96.6 	86.4 	75.5 	82.2 	77.8 	56.9 	56.3 	56.8 
I05,LU	100 	98.3 	92.6 	96 	100.3 	93.7 	93 	95.5 	93.9 	91.7 	92.2 	91.7 
I05,LV	100 	100 	102.7 	96 	98.1 	101.6 	90.3 	87.4 	86.3 	89.1 	90.9 	90.6 
I05,MK	100 	95.8 	80.4 	83.5 	84 	90.9 	100.5 	94 	107.9 	107.3 	107.9 	104.4 
I05,MT	100 	100.6 	98.8 	97.6 	101 	98.1 	97 	94.9 	92.1 	89.7 	87.7 	85.7 
I05,NL	100 	96.6 	93.9 	90.2 e	94.6 	92.3 e	91.3 	92.2 	93.7 	92.6 	86.4 	85.6 
I05,NO	100 	99.2 	99.2 	100.8 	103.4 	104 	104.7 	101.7 	102.1 	103.3 	103.7 	103.5 
I05,PL	100 	96 	92.1 	92.4 	91.6 	89.6 	87.9 	83.4 	82.7 	81.5 	79.5 	78.6 
I05,PT	100 	99.3 	97.7 	98.2 	99.9 	95.7 	96.8 	99.3 	100.1 	100.7 	100.4 	106.4 
I05,RO	100 	96.1 	93.4 	96.7 e	103.9 	104.7 	101.4 	103.2 	103.1 	106.6 	106.3 	107.5 
I05,SE	100 	96.2 	95.1 	95.6 	100.5 	94.2 	92.8 	92.8 	91.7 	91.1 	88.7 	87.6 
I05,SI	100 	96.8 	95.4 	93.8 	105.1 	103.2 	102.1 	104.1 	105.2 	104 	103.4 	101.9 
I05,SK	100 	92.1 	80.7 	76.5 	76.2 	73.4 	72.1 	71 	70.1 	68.8 	68.3 	67.8 
I05,TR	100 	97.9 	96.6 	98.3 	105.5 	103.7 	99.7 	101 	96.1 	94.2 	93.6 	93.7 
I05,UK	100 	98.4 	96.7 	96.8 	100.5 	97.2 	95.8 	95 	92.3 	91.3 	89.5 	88.9 
